Linux 6.8.0-85-generic (david-Lenovo-ThinkBook-14-IIL) 	02/11/25 	_x86_64_	(4 CPU)

01:03:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:04:41        all      1,51      0,00      1,26      0,00      0,00     97,24
01:04:42        all      1,01      0,00      0,25      0,25      0,00     98,49
01:04:43        all      0,51      0,00      0,25      0,00      0,00     99,24
01:04:44        all      0,76      0,00      0,25      0,00      0,00     98,99
01:04:45        all      0,51      0,00      0,76      0,00      0,00     98,74
01:04:46        all      1,50      0,00      0,75      0,00      0,00     97,75
01:04:47        all      0,51      0,00      0,25      0,25      0,00     98,99
01:04:48        all      0,75      0,00      0,50      0,00      0,00     98,75
01:04:49        all      1,25      0,00      1,00      1,00      0,00     96,74
01:04:50        all      2,02      0,00      0,25      0,00      0,00     97,73
01:04:51        all      0,50      0,00      0,75      0,00      0,00     98,75
01:04:52        all      0,51      0,00      0,25      0,00      0,00     99,24
01:04:53        all      3,53      0,00      0,76      0,00      0,00     95,72
01:04:54        all      1,01      0,00      0,25      0,25      0,00     98,48
01:04:55        all      0,75      0,00      0,50      0,00      0,00     98,74
01:04:56        all      0,75      0,00      0,50      0,00      0,00     98,74
01:04:57        all      1,51      0,00      0,75      0,00      0,00     97,74
01:04:58        all      1,01      0,00      0,25      0,00      0,00     98,74
01:04:59        all      1,25      0,00      0,75      0,50      0,00     97,50
01:05:00        all      0,25      0,00      0,25      0,00      0,00     99,50
01:05:01        all      1,26      0,00      0,76      0,00      0,00     97,98
01:05:02        all      1,26      0,00      0,76      0,76      0,00     97,23
01:05:03        all      1,01      0,00      0,25      0,00      0,00     98,74
01:05:04        all      0,50      0,00      0,50      0,00      0,00     98,99
01:05:05        all      1,01      0,00      1,01      0,00      0,00     97,98
01:05:06        all      1,26      0,00      0,25      0,00      0,00     98,49
01:05:07        all      0,51      0,00      0,51      0,00      0,00     98,99
01:05:08        all      1,00      0,00      0,25      0,50      0,00     98,25
01:05:09        all      1,01      0,00      1,01      0,00      0,00     97,98
01:05:10        all     11,31      0,00      1,51      0,00      0,00     87,19
01:05:11        all      1,01      0,00      0,75      0,00      0,00     98,24
01:05:12        all      0,76      0,00      0,00      0,00      0,00     99,24
01:05:13        all      0,76      0,00      0,76      0,00      0,00     98,49
01:05:14        all      1,26      0,00      0,50      0,00      0,00     98,24
01:05:15        all      1,50      0,00      0,50      0,50      0,00     97,50
01:05:16        all      1,52      0,00      1,01      0,00      0,00     97,47
Media:          all      1,60      0,00      0,68      0,12      0,00     97,61
